,column_name,file,freq_item
264,SCHOOL_NAME,gk83-aa6y.tsv.gz,PythonRDD[2079] at RDD at PythonRDD.scala:53
265,First_Name,t8hj-ruu2.tsv.gz,PythonRDD[2080] at RDD at PythonRDD.scala:53
266,StartCity,as69-ew8f.tsv.gz,PythonRDD[2081] at RDD at PythonRDD.scala:53
267,CORE_COURSE_9_12_ONLY_,i8ys-e4pm.tsv.gz,[0]
268,Neighborhood_1,myei-c3fa.tsv.gz,PythonRDD[2082] at RDD at PythonRDD.scala:53
269,SCHOOL_LEVEL_,upwt-zvh3.tsv.gz,[0]
270,School_Phone_Number,aiww-p3af.tsv.gz,PythonRDD[2083] at RDD at PythonRDD.scala:53
271,Vehicle_Make,kiv2-tbus.tsv.gz,PythonRDD[2084] at RDD at PythonRDD.scala:53
272,SCHOOL_LEVEL_,weg5-33pj.tsv.gz,[0]
273,BROOKLYN_CONDOMINIUM_PROPERTY_Neighborhood,rmv8-86p4.tsv.gz,PythonRDD[2085] at RDD at PythonRDD.scala:53
